name,description,difficulty,prep_time,cooking_time,recipe_type,National_Cuisine,portions,Image_id,Ingredients_name
Miso-Butter Roast Chicken With Acorn Squash Panzanella,"A savory roast chicken glazed with miso-butter, served alongside a hearty bread salad featuring roasted acorn squash.",2,30,30,cooking,Japanese,4,1001,chicken
Crispy Salt and Pepper Potatoes,"Golden, crispy potatoes seasoned simply with salt and pepper, perfect as a side dish.",3,45,45,cooking,American,5,1002,potatoes
Thanksgiving Mac and Cheese,"Creamy, rich macaroni and cheese with a hint of holiday spices, ideal for festive gatherings.",5,20,50,cooking,American,3,1003,elbow macaroni
Italian Sausage and Bread Stuffing,"Traditional stuffing made with chunks of Italian sausage, bread, and aromatic herbs, perfect for Thanksgiving.",4,55,30,cooking,Italian,6,1004,Italian sausage
Newton's Law,A hearty dish combining apples and savory ingredients in a unique flavor blend.,3,35,20,cooking,Spanish,5,1005,apple butter
Warm Comfort,"A cozy, comforting dish that's perfect for cold weather, featuring warm spices and hearty ingredients.",1,40,35,cooking,French,2,1006,lemon juice
Apples and Oranges,A refreshing and tangy dish that pairs apples and oranges for a unique flavor combination.,2,20,45,pastry,Russian,3,1007,apples
Turmeric Hot Toddy,"A warm, spiced drink made with turmeric, perfect for soothing and warming up.",3,15,25,pastry,Korean,4,1008,turmeric
Instant Pot Lamb Haleem,"A rich and hearty lamb stew cooked quickly in an Instant Pot, packed with spices and lentils.",1,50,50,cooking,Korean,5,1009,lamb stew meat
Spiced Lentil and Caramelized Onion Baked Eggs,Baked eggs nestled in a flavorful bed of spiced lentils and sweet caramelized onions.,4,30,10,cooking,Indian,6,1010,eggs
Hot Pimento Cheese Dip,"A warm, creamy dip made with pimento cheese, ideal for serving with crackers or veggies.",1,35,20,cooking,Italian,5,1011,cheddar
Spiral Ham in the Slow Cooker,"Tender, juicy spiral ham cooked to perfection in a slow cooker, great for a hassle-free main course.",5,45,30,cooking,Albanian,6,1012,ham
Butternut Squash and Apple Soup,"A smooth and creamy soup blending the flavors of butternut squash and apples, perfect for fall.",1,50,25,cooking,American,4,1013,butternut squash
Caesar Salad Roast Chicken,"Roast chicken seasoned with classic Caesar salad flavors, served with crispy croutons and romaine.",5,20,20,cooking,Italian,3,1014,chicken
Chicken and Rice With Leeks and Salsa Verde,"A flavorful one-pot dish featuring tender chicken, rice, leeks, and a zesty salsa verde.",3,30,50,cooking,Greek,5,1015,chicken
Gorditas con Camarones,"Thick corn tortillas stuffed with succulent shrimp, topped with fresh and vibrant garnishes.",2,25,45,cooking,Vietnamese,4,1016,shrimp
Enfrijoladas,"Corn tortillas dipped in a rich bean sauce, filled with cheese or meat, and garnished with fresh toppings.",4,45,55,cooking,Mexican,6,1017,black beans
Caramelized Plantain Parfait,"Layers of caramelized plantains, creamy yogurt, and crunchy granola for a delicious dessert or breakfast.",1,30,30,pastry,Russian,3,1018,mangoes
Chicken and Potato Gratin With Brown Butter Cream,"A decadent gratin with layers of chicken and potatoes, enriched with a brown butter cream sauce.",2,15,35,cooking,American,4,1019,chicken
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,"A vibrant dish of roasted beets and crispy sunchokes, served with a tangy orange-ginger pur?e.",3,35,20,cooking,Ukranian,5,1020,beets
Kale and Pumpkin Falafels With Pickled Carrot Slaw,"Savory falafels made with kale and pumpkin, paired with a tangy pickled carrot slaw.",4,25,45,cooking,Ukranian,6,1021,kale
Maple and Chile Roasted Squash With Quinoa Tabouli,Sweet and spicy roasted squash served alongside a fresh and herby quinoa tabouli.,5,50,50,cooking,Canadian,4,1022,quinoa
Chhena Poda (Spiced Cheesecake),An Indian-style cheesecake made with fresh paneer cheese and spiced for a unique dessert experience.,3,35,55,pastry,Mexican,5,1023,whole milk
Paneer,"Fresh, homemade Indian cheese that's versatile and can be used in a variety of dishes.",4,45,35,pastry,Italian,3,1024,lemon juice
Sloppy Joe Shirred Eggs With Spinach,"Baked eggs with a spicy Sloppy Joe filling, nestled on a bed of spinach.",5,50,20,cooking,Greek,4,1025,eggs
R-Rated Onions,"A bold and spicy onion dish, perfect for adding a kick to any meal.",2,55,25,cooking,Spanish,5,1026,white onions
Miso-Squash Ramen,A hearty ramen bowl featuring miso-flavored broth and tender squash.,5,45,15,cooking,Japanese,4,1027,ramen noodles
Spicy Coconut Pumpkin Soup,"A creamy, spicy soup made with pumpkin and coconut milk, perfect for warming up.",4,25,30,cooking,Korean,4,1028,pumpkin
Baigan Chokha,"A traditional dish of roasted eggplant mashed with spices and herbs, offering a smoky and flavorful experience.",3,15,25,cooking,Ukranian,5,1029,eggplants
Dad’s Curried Chicken,"A hearty chicken curry made with a special blend of spices, reminiscent of home-cooked meals.",1,20,40,cooking,Indian,3,1030,chicken
Trinidad Curry Powder,"A fragrant and spicy blend of seasonings, perfect for adding authentic Caribbean flavor to your dishes.",2,50,45,cooking,Indian,4,1031,curry
Shrimp Creole,"A classic Creole dish featuring shrimp simmered in a rich tomato sauce with bell peppers, onions, and spices.",1,45,55,pastry,Albanian,5,1032,shrimp
Green Seasoning,A vibrant and aromatic blend of herbs and spices used as a marinade or flavor enhancer in various dishes.,2,30,30,pastry,Ukranian,6,1033,thyme
Chicken Pelau,"A savory one-pot dish combining chicken, rice, and vegetables, infused with Caribbean spices.",4,20,25,pastry,German,5,1034,chicken
Our Favorite Creamy Mashed Potatoes,"Smooth and creamy mashed potatoes, perfect as a comforting side dish.",3,25,45,cooking,German,4,1035,potatoes
Remember the Alimony,"A delightful cocktail featuring a mix of gin, vermouth, and citrus, with a hint of bitterness.",5,45,35,pastry,Greek,3,1035,Orange twist
Creole Cream Cheesecake With Caramel-Apple Topping,"A rich and creamy cheesecake with a caramel-apple topping, combining Creole cream cheese and sweet fruit flavors.",2,40,20,pastry,American,4,1037,cream cheese
Creole Cream Cheese,"A smooth and tangy cream cheese, ideal for spreading on bagels or incorporating into recipes.",5,50,25,pastry,French,5,1038,milk
Buss Up Shut (Paratha Roti),"A flaky and soft flatbread, perfect for soaking up curries and stews.",2,35,25,pastry,Italian,6,1039,all-purpose flour
Best Deviled Eggs,"Classic deviled eggs with a creamy, tangy filling, perfect for appetizers or snacks.",5,45,40,pastry,Armenian,4,1040,eggs
Mango Curry,A sweet and spicy curry made with ripe mangoes and a blend of aromatic spices.,3,30,60,pastry,Indian,5,1041,mangoes
Iced Café de Olla,"A refreshing iced coffee drink infused with cinnamon and piloncillo, offering a taste of traditional Mexican flavors.",4,35,45,pastry,French,6,1042,cold-brew coffee
Pumpkin Dutch Baby With Pumpkin Butter,"A puffy, oven-baked pancake flavored with pumpkin and served with a rich pumpkin butter.",4,25,45,pastry,Ukranian,3,1043,pumpkin
Braised Chicken Legs With Grapes and Fennel,"Tender chicken legs braised with sweet grapes and aromatic fennel, creating a savory-sweet combination.",3,20,25,pastry,Korean,4,1044,chicken
Old-Fashioned Scalloped Potatoes,"Thinly sliced potatoes baked in a creamy sauce with cheese, a comforting and classic side dish.",1,15,20,pastry,Italian,5,1045,potatoes
Yogurt and Spice Roasted Salmon,"Salmon fillets marinated in a yogurt and spice mixture, then roasted to perfection.",5,35,25,pastry,Canadian,4,1046,greek yogurt
Pita,"Soft and fluffy flatbread, ideal for sandwiches, dips, or as a side to various dishes.",2,45,35,pastry,Greek,3,1047,bread flour
Veselka's Famous Borscht,"A hearty beet soup with a rich broth, served hot or cold, and famous at Veselka.",3,60,45,pastry,Albanian,5,1048,pork butt
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,"Snapper marinated in a tangy papaya and cubeb pepper mixture, served with crispy baked yam chips.",5,55,20,pastry,Korean,4,1049,papaya
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),"A fiery hot pepper sauce made with apricots and spices, perfect for adding heat to any dish.",2,45,30,pastry,Mexican,3,1050,rum
Summer Bean Soup With Tomato Brown Butter,A light and flavorful soup featuring summer beans and a rich tomato brown butter.,3,40,40,pastry,Japanese,5,1051,green beans
Tomato Brown Butter,"A savory sauce made by combining ripe tomatoes with nutty brown butter, enhancing the flavor of any dish.",4,35,20,pastry,Italian,6,1052,tomatoes
Maple-Roasted Acorn Squash,"Sweet and tender acorn squash roasted with maple syrup, a perfect fall side dish.",1,25,30,pastry,Ukranian,4,1053,squash
Coconut-Creamed Corn and Grains,A creamy and rich dish combining sweet corn and grains with coconut milk.,3,35,30,pastry,Japanese,5,1054,quinoa
Tomato and Roasted Garlic Pie,"A savory pie filled with ripe tomatoes and roasted garlic, encased in a flaky crust.",2,40,25,pastry,Greek,3,1055,tomatoes
Paneer With Burst Cherry Tomato Sauce,Soft paneer cheese served with a vibrant sauce made from burst cherry tomatoes.,1,55,40,pastry,Korean,5,1056,cherry tomatoess
Sesame-Scallion Chicken Salad,"A refreshing chicken salad with sesame and scallion flavors, perfect for a light meal.",2,35,50,cooking,Spanish,6,1057,chicken
Maple Barbecue Grilled Chicken,Juicy grilled chicken basted in a sweet and tangy maple barbecue sauce.,3,40,45,pastry,Russian,4,1058,chicken
Spiced Lamb and Dill Yogurt Pasta,"Pasta tossed with spiced lamb and a creamy dill yogurt sauce, creating a unique and flavorful dish.",4,45,35,pastry,American,5,1059,pasta
Salt-and-Pepper Fish,"Simple and delicious fish fillets seasoned with salt and pepper, then pan-fried to perfection.",3,50,30,cooking,Armenian,3,1060,cod
