Recipe_name,label
Apples and Oranges,brunch
Apples and Oranges,quick
Baigan Chokha,traditional
Baigan Chokha,festive
Best Deviled Eggs,simple
Best Deviled Eggs,quick
Best Deviled Eggs,healthy
Braised Chicken Legs With Grapes and Fennel,healthy
Braised Chicken Legs With Grapes and Fennel,comfort
Buss Up Shut (Paratha Roti),traditional
Butternut Squash and Apple Soup,soup
Butternut Squash and Apple Soup,healthy
Caesar Salad Roast Chicken,healthy
Caesar Salad Roast Chicken,simple
Caesar Salad Roast Chicken,salad
Caramelized Plantain Parfait,festive
Caramelized Plantain Parfait,dessert
Chhena Poda (Spiced Cheesecake),dessert
Chhena Poda (Spiced Cheesecake),cold-dish
Chicken and Potato Gratin With Brown Butter Cream,comfort
Chicken and Potato Gratin With Brown Butter Cream,simple
Chicken and Potato Gratin With Brown Butter Cream,festive
Chicken and Rice With Leeks and Salsa Verde,healthy
Chicken and Rice With Leeks and Salsa Verde,fast-food
Chicken Pelau,healthy
Chicken Pelau,cold-dish
Coconut-Creamed Corn and Grains,comfort
Creole Cream Cheese,simple
Creole Cream Cheese,quick
Creole Cream Cheesecake With Caramel-Apple Topping,dessert
Creole Cream Cheesecake With Caramel-Apple Topping,festive
Crispy Salt and Pepper Potatoes,quick
Crispy Salt and Pepper Potatoes,comfort
Crispy Salt and Pepper Potatoes,fast-food
Dad’s Curried Chicken,traditional
Dad’s Curried Chicken,comfort
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),drink
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),festive
Enfrijoladas,traditional
Gorditas con Camarones,seafood
Gorditas con Camarones,quick
Green Seasoning,brunch
Green Seasoning,simple
Hot Pimento Cheese Dip,brunch
Hot Pimento Cheese Dip,quick
Hot Pimento Cheese Dip,traditional
Iced Café de Olla,festive
Iced Café de Olla,simple
Instant Pot Lamb Haleem,quick
Instant Pot Lamb Haleem,healthy
Italian Sausage and Bread Stuffing,healthy
Italian Sausage and Bread Stuffing,comfort
Kale and Pumpkin Falafels With Pickled Carrot Slaw,traditional
Kale and Pumpkin Falafels With Pickled Carrot Slaw,soup
Kale and Pumpkin Falafels With Pickled Carrot Slaw,healthy
Mango Curry,healthy
Mango Curry,simple
Mango Curry,salad
Mango Curry,festive
Maple and Chile Roasted Squash With Quinoa Tabouli,dessert
Maple and Chile Roasted Squash With Quinoa Tabouli,dessert
Maple and Chile Roasted Squash With Quinoa Tabouli,cold-dish
Maple Barbecue Grilled Chicken,comfort
Maple Barbecue Grilled Chicken,simple
Maple-Roasted Acorn Squash,festive
Miso-Butter Roast Chicken With Acorn Squash Panzanella,healthy
Miso-Butter Roast Chicken With Acorn Squash Panzanella,fast-food
Miso-Squash Ramen,healthy
Miso-Squash Ramen,cold-dish
Newton's Law,comfort
Old-Fashioned Scalloped Potatoes,simple
Old-Fashioned Scalloped Potatoes,quick
Old-Fashioned Scalloped Potatoes,dessert
Our Favorite Creamy Mashed Potatoes,festive
Our Favorite Creamy Mashed Potatoes,quick
Paneer,comfort
Paneer With Burst Cherry Tomato Sauce,fast-food
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,traditional
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,comfort
Pita,drink
Pita,festive
Pumpkin Dutch Baby With Pumpkin Butter,traditional
R-Rated Onions,seafood
R-Rated Onions,quick
Remember the Alimony,brunch
Remember the Alimony,simple
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,brunch
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,quick
Salt-and-Pepper Fish,traditional
Salt-and-Pepper Fish,festive
Sesame-Scallion Chicken Salad,simple
Sesame-Scallion Chicken Salad,quick
Sesame-Scallion Chicken Salad,healthy
Shrimp Creole,healthy
Sloppy Joe Shirred Eggs With Spinach,comfort
Spiced Lamb and Dill Yogurt Pasta,traditional
Spiced Lamb and Dill Yogurt Pasta,soup
Spiced Lentil and Caramelized Onion Baked Eggs,healthy
Spiced Lentil and Caramelized Onion Baked Eggs,comfort
Spiced Lentil and Caramelized Onion Baked Eggs,simple
Spicy Coconut Pumpkin Soup,salad
Spiral Ham in the Slow Cooker,festive
Spiral Ham in the Slow Cooker,comfort
Summer Bean Soup With Tomato Brown Butter,soup
Summer Bean Soup With Tomato Brown Butter,cold-dish
Thanksgiving Mac and Cheese,comfort
Thanksgiving Mac and Cheese,simple
Tomato and Roasted Garlic Pie,festive
Tomato and Roasted Garlic Pie,healthy
Tomato Brown Butter,fast-food
Trinidad Curry Powder,healthy
Trinidad Curry Powder,cold-dish
Trinidad Curry Powder,comfort
Turmeric Hot Toddy,simple
Turmeric Hot Toddy,quick
Veselka's Famous Borscht,dessert
Warm Comfort,festive
Warm Comfort,quick
Yogurt and Spice Roasted Salmon,comfort
