Recipe_name,Thematic_Section_name
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Low-Carb
Crispy Salt and Pepper Potatoes,International Cuisine
Thanksgiving Mac and Cheese,Christmas Desserts
Italian Sausage and Bread Stuffing,International Cuisine
Newton's Law,Asian Fusion
Warm Comfort,Ramadan
Apples and Oranges,Christmas Desserts
Turmeric Hot Toddy,Seasonal
Instant Pot Lamb Haleem,Gluten-Free
Spiced Lentil and Caramelized Onion Baked Eggs,Vegetarian
Hot Pimento Cheese Dip,Seafood Specialties
Spiral Ham in the Slow Cooker,Asian Fusion
Butternut Squash and Apple Soup,Latin American
Caesar Salad Roast Chicken,Baking
Chicken and Rice With Leeks and Salsa Verde,Christmas Desserts
Gorditas con Camarones,Latin American
Enfrijoladas,Beverages
Caramelized Plantain Parfait,Vegetarian
Chicken and Potato Gratin With Brown Butter Cream,Vegetarian
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,International Cuisine
Kale and Pumpkin Falafels With Pickled Carrot Slaw,Seasonal
Maple and Chile Roasted Squash With Quinoa Tabouli,Asian Fusion
Chhena Poda (Spiced Cheesecake),Seasonal
Paneer,Comfort Food
Sloppy Joe Shirred Eggs With Spinach,Latin American
R-Rated Onions,Ramadan
Miso-Squash Ramen,Low-Carb
Spicy Coconut Pumpkin Soup,Ramadan
Baigan Chokha,Comfort Food
Dad’s Curried Chicken,Gourmet
Trinidad Curry Powder,Baking
Shrimp Creole,Comfort Food
Green Seasoning,Comfort Food
Chicken Pelau,Gluten-Free
Our Favorite Creamy Mashed Potatoes,Baking
Remember the Alimony,Low-Carb
Creole Cream Cheesecake With Caramel-Apple Topping,Gourmet
Creole Cream Cheese,Latin American
Buss Up Shut (Paratha Roti),Gourmet
Best Deviled Eggs,Gluten-Free
Mango Curry,Vegetarian
Iced Café de Olla,Ramadan
Pumpkin Dutch Baby With Pumpkin Butter,Seasonal
Braised Chicken Legs With Grapes and Fennel,Beverages
Old-Fashioned Scalloped Potatoes,Vegetarian
Yogurt and Spice Roasted Salmon,Latin American
Pita,Gourmet
Veselka's Famous Borscht,Beverages
Papaya-and-Cubeb-Marinated Snapper With Baked Yam Chips,Healthy Vegan
Drunk Apricot Shito (Ghanaian Hot Pepper Sauce),Beverages
Summer Bean Soup With Tomato Brown Butter,Christmas Desserts
Tomato Brown Butter,Seafood Specialties
Maple-Roasted Acorn Squash,Healthy Vegan
Coconut-Creamed Corn and Grains,Low-Carb
Tomato and Roasted Garlic Pie,International Cuisine
Paneer With Burst Cherry Tomato Sauce,Christmas Desserts
Sesame-Scallion Chicken Salad,International Cuisine
Maple Barbecue Grilled Chicken,Asian Fusion
Spiced Lamb and Dill Yogurt Pasta,Ramadan
Salt-and-Pepper Fish,Christmas Desserts
